word,meaning
asákà,insect which enters wood floating on water
Asangbá,male personal name
asángba,"dane-gun, longer than agáda"
asángbafịnị,gun-caps
asanghá,seed-pod of ogírizì
asará,stage of oil-palm at which it has to be harvested with ladder ̣
asịn-ofónì,fowl with feathers of a deep red
asịsá,umbrella
asosoú,blood from a slaughtered animal collected and cooked with the food called námafịyaị
asú,bamboo pole for punting
atábala,something which comes to nothing after a long struggle
atála-arụ,"canoe with four or five seats, big enough for lift-screen fishing"
atáma,medicinal herb
atámàmí,any water spirit that enriches human beings)
atamatámà,spider
atamatámàwarị,spider’s web
atamatámàwarị,poison magically
atangbalá-ànga,rice
atángbara,club
atánịbolou,armpit
atú,crocodile
atútà,constipation
Atútà ụ kọrịmí,̣He suffered from constipation
owéi atuta,severe constipation
avarán,"hole or cavity in a tree, or a hole covered by a light skin"
avíaranyoro-ọgbọlọ,"whose inside has been scraped out after removing the flesh, resulting in a very light top"
awá,tree with hard wood
áwà,hour
awalá,ritual object displayed in war canoe
awánràn,“August break”
awánràn,dry spell in rainy season from late July to August
awérè,oxbow lake
awúrù,gourmand
awúrù,glutton
ayáà,name given to a new-born baby
ayán,face
ayátọ̀bọụ́,baby
Ayíba,God
Ayibabiri,town in Kólokùmá ìbe of Northern Nzọn
Ayíbadìgíèneni,female personal name
ayibo,imbecile person
ayibo,nincompoop
ayóro,newly-circumcized woman or boy
ayọ́¹,earthen pot
azúzu,fan
azụ́à,hook on punting-pole
azụ́à,forked stick
báan³,juvenile or smallest size of the fish Heterobranchus bidorsalis and
báan³,longifilis
baaraá,"dry season, roughly from January to May"
baara-angbá,"traditional form of compound interest, in which the amount borrowed is doubled at the end of every year"
baara-angbá,compound interest at any agreed rate
baarayé,lending with interest
báfụ̀,basin
báị³,day
báị pèkéì,early morning
anị baí ̣,that day
bíribaị,the third day of the four- day week
bọụ baí,"̣the ‘weak days’ of the four-day native week, associated with female activities, on which one can go to all farms, forests, lakes, etc"
fọ́ụ baị,market-day ̣
kụrọ baí ̣,"the ‘strong days’ of the four- day native week, associated with male activities, on which one can go to only certain farms, forests, lakes, etc"
túka baị,next day
báị³,another day
báị³,̣day before yesterday
bálàtịn,mast for ship
Báma,B
Bánzama,Bachama
bárabirì,upper arm
bárabolòu,inside of hand
bárabọlọ̀ụ,fingertip
bára-fun-kpọụ,roguery
bárafuròu,ventral side of forearm
báragbasà,finger
inima bara gbásà,forefinger
kúnoun baragbasa,little finger
pẹrẹ baragbásà,middle finger
zibaụ baragbásà,ring finger
bára-ìmemein,fingernail
bára-ìngbe,forearm
bára-ìngbe,"hence, a measure using the forearm"
bárapalà,palm of the hand
bára palà anga ọkụ,side of the hand
báratoùn,back of hand
báratọrụ̀,wrist-joint
báratọrụ̀,effort
báratụàpịrịyé,aid
báratụàpịrịyé,help
báratụàpịrịyé,assistance
báratụàye,bangle
báratụàye,bracelet
bárayaịnmọ̀,inside of elbow
bárayaịnmọ̀,"arm from elbow to wrist, used to measure cloth"
bárịmọye,concomitant
bárịmọye,accompaniment
beí,luck in farming
beí,have good luck in farming
béingbàị,today
béin³,bunch
líị ̣beìn,oil-palm bunch
béinmọ¹,complete
béinmọ²,medicinal herb used for malaria and in pregnancy
bẹ́ịnmọdirì,"medicine believed to be transmitted by charming, enchantment or magic."
bẹ́ịnmọdirì,fruit
Bekekírì,personal name
bení¹,water
beni bilé dive,bathe
bení¹,be circumcized
beni birimọ́,circumcize
beni faá,be drowned
beni fa kíṃ ì ṃ ọ wo yọwẹ́ị mọ̀,someone who refuses to change his ways
beni fa tú,source of river
beni iyéri,go down
beni koró,be circumcized
beni koró,pass one’s prime
beni koró,reach menopause
beni okí,swim
beni pẹlẹ́,"recede, abate"
beni saí ̣,bail water
bení sèrí,begin to rise
beni siín,bail out water
beni tabụ́,soak in water
beni tabụ́,be in abeyance
beni tịẹ́,"collect in one place, making it water-logged or flooded"
beni tụá,bring water out of larger container with smaller one
beni tụá,duck in the water
beni tụá,exaggerate
beni zuú,draw/fetch water
fụ́ụ beni,salt water
bení¹,brine
ịgịná beni,pepper soup
ọfíṛị bèní/tụọ bení,hot water
osuo bení,rainwater
ọgọnọ bení,water in the sky
bení²,dress for special occasion
andá beni,wrestling-dress
andá beni bìrí,dress for wrestling
benibouyé,cup
beni-ékè,catfish ̣
beni-eré,water-nymph
benikọ́ọ̀n,Smyth’s Water Snake
beni-ókòba,pond-skater
beni-orú,water deity
benipẹrẹ́,"water-deity associated with wealth, such as “mammy- water”"
Beniụdẹ́ịn,"deity of Igbedi, believed to have power to recover things lost in the water"
berí,ear
berí kụ̀rọ́,be hard of hearing
Beri naaghá fìị ̣kị ukúla-owei baamị,It is not hearing the danger that killed the lame man
Fánụ tụabọ bèri ghọ fánụ tụagha,Someone who builds fences cannot fence round the ears
berí,simple leaf
berí,handle
berí,barb
beridọọ́n,ear-ache
beridọọ́n,pain in the ear
beritụayé,earring
bẹ́lẹtuu,bottom of pot
bẹ́lẹtuu,food remaining at bottom of pot
bẹ́rẹ²,“case”
bẹ́rẹ²,misunderstanding
bẹ́rẹ²,big problem
bẹ́rẹ-ere,wife married under the big bride- price system
bẹ́rẹ-ere,“big dowry wife”
bíribaị,third day of traditional four-day
Bíribaị,female personal name
bíritẹmẹsuo,"collective spirit of a ward, quarter, expressed in its formal praise-title biséì that thing"
bíyou¹,inland
bíyou¹,hinterland
bíyou¹,Isoko
bịayé,leprosy
bịdẹ́,cloth
bịdẹ derí,"spin, weave cloth"
bịdẹ gbeín,sew cloth
ọgọ bịdẹ́,silk cloth
bịdẹbará,narrow piece of Kano cloth used by women to support the weight of children when tied at the back
bịdẹbará,"a similar type is also used by male elders as muffler, but placed over the shoulder"
bịdẹfienmọ́,“wrapper” of three or four yards of ínzìrí or abadá cloth sewn together and worn with “jumper”
bịdẹgbeinyé,sewing-machine
bịlá,elephant
bịlafụ́à,kind of tsetsefly
bịlákòró¹,an imaginary female person taking part in a game
bịlákòró²,"necklace made with black thread, worn mostly by men"
Bịnadeighá,male personal name
bịna-ebí,brotherly kindness
bịnalẹẹmọ́yè,developing breasts of a girl at the age of puberty
bódù,herb with broad leaves
bói,"bird, white egret"
bókitì,bucket
bólou,inside
bólou,heart
bólou,mind
bólou dọọ̀,"be calm, sober"
bólou dọọmọye,comfort
bólou dọọmọye,consolation
bólou èbií,be kind-hearted
bólou fini,rehearse
bólou fụrụ,"be angry, annoyed"
bólou ìṃ bẹlẹ́,be happy
bólou,rejoice the heart
bólou kọ̀ọ́n,"be angry, annoyed"
bólou kụ̀rọ́,be brave
bólou oweitọbọụye,hernia
bólou sèí,be wicked
alalá bòlou,inside of pan
bou bolóu,inside the bush
tọbọụ bolóu,child’s mind
bólou-ịngbị,kidney
Bólounimigha,personal name
bólousẹ̀ẹ,capacity
boú²,what has been collected or won during a game of tops
bou-aká,"Swamp Arum, a plant resembling maize"
boubeké-òdu,"plant with a tuber, used for sacrifice to dead"
boubịdẹ́,moss
boudogú,tree
bou-ivín,edible fruit of akparakịtíỵaị
bouninísèimọ́,snakehead fish
bou-óbòri,Water Chevrotain
bou-ogbóin,“bush mango”
bou-ọdọ́gụ̀ma¹,"bird, any wild duck , including the White-faced Whistling Duck and Hartlaub’s Duck"
bou-ọgbọ́lọ̀,"large dark-brown type of ọgbọ́lọ̀, from forest areas, paid for like afí¢¢l¢¢ à"
boupulóu,tree
bousụụ́,"fight in the bush, which traditionally has to be separated not with hands, but with sticks"
boutebí,part of “bush” nearest to town
bóutèrí,feast
bóutèrí,party
boutọrụ́,inland waterway
boutọrụ́,a river or waterway in disuse
boutuú,"old plantain, cassava or cocoyam farm"
boutuú,secrecy
boweí,“flood”
boweí,season when river overflows into “bush”
bọ́lẹịye,loan
bọ́lọụ¹,front
bọ́lọụ¹,first place
bọ́lọụbọlọụye,novelty
bọ́lọụbọlọụye,innovation
Bọ́lọụebi,personal name
Bọ́lọụere,female personal name
Bọ́lọụkịmị,male personal name
bọ́lọụkọrị-owei,leader
bọ́lọụ-mọ-tuu-mọ,terminals
bọ́ụ̀n,honey
burú²,yolk of egg
buru-ịkpụ́rụ̀,yam seedling
bútuwei,"clothing worn on the upper part of the body búu¹ be mature, fully grown"
búu²,pitcher
bụlọụ́,anger
bụlọụ́,temper
bụlọụ seí,become angry
bụlọụ seí,lose one’s temper
bụmọụ́n,“bamboo”
bụmọụ́n,midrib of palm frond
bụ́mọụn,sandbank
bụ́mọun warị,house built on a sandbank
Bụ́mọụndi¹,a town in Ekpétiama ibe in Northern Nzọn
Bụ́mọụndi²,"Bomadi, a town in Mein ibe in Delta State"
bụnẹbụnẹ́,describes curly hair
bụ́ọ¹,foot
bụ́ọ¹,leg
bụ́ọ¹,hind leg of animal
bụ́ọ asaba,step over someone’s legs
bụ́ọ asaba,have sex with a woman between toun duú and the final dúu
bụ́ọ fie,run helter-skelter
bụ́ọ fie,"run in a disorderly manner, as when there is an accident"
Amábị bụ́ọ fiedọụ wèé,"The town is in commotion, pandemonium"
bụ́ọ mọ kiri mọ batein,dumbfounded
bụ́ọ mọ kiri mọ batein,flabbergasted
bụ́ọ saramọ,move faster than normal
bụ́ọ sèrí,suffer from cramp or muscle pain
"Bụ́ọ sèibọọ́, bụ́ọ fịna","Anyone with a bad foot, bandage it"
bụ́ọ¹,"step, as in dance"
bụ́ọ tụa,join in a dance for a few steps
sẹ́ịbụọ,dance-step
bụ́ọ-asaba,small boy who acts as husband to a widow
bụ́ọbọlọụ,tip of toe
bụ́ọgbanaye,footstool
bụ́ọgbasa,toe
bụ́ọgenrein,back of the ankle
bụ́ọgenrein,Achilles tendon
bụ́ọ-imemein,toenail
bụ́ọ-isenlei,space between toes
bụ́ọ-itita,underpart of heel
bụ́ọ-itita,calcaneal bulge
bụ́ọ-ịkọlị,ankle bone
bụ́ọkọlọ,part of leg between fleshy part of calf and ankle
bụ́ọkubu,sole of foot
bụ́ọkụọye,foot-mat
bụ́ọpala,top of foot
bụ́ọtịbị,big toe
bụ́ọtoun,heel
bụ́ọtọrụ,ankle-joint
bụ́ọyaịnmọ,"inside, back, of knee"
bụ́ọyaịnmọ,popliteal fossa
bụ́ra,silver catfish
bụ́ra ekpe,juvenile silver catfish
bụrụnfụ́rụn,shrub or tree
bụ́ụ¹,fishpond
bụ́ụ saị,bail fishpond
bụ́ụ sou,dig fishpond
bụ́ụ²,body
bụ́ụ²,self
"bụ́ụ a kịmị tịn,bụ́ụ ọ̀ngọ́ akị kịmị tịn","be proud, haughty, obstinate"
bụ́ụbara,personal
bụ́ụbara,one’s own
bụ́ụ ìṣaíṇ,be selective
bụ́ụ ìṣaíṇ,be hygienic
bụ́ụtụa èbií,look fresh
bụ́ụtụa èbií,become fat
bụ́ụtụa sèí,be emaciated
bụ́ụtụa sèí,become lean
bụ́ụ³,inside of vagina
bụ́ụ-aka,edge of fishpond
bụ́ụsọrọụ,source of fishpond
dáanị,"ceremonial lineage in Kolokuma, all of which participate in the yénghi dịẹ ceremony"
dába,low-lying marshy land
dába,swamp
dába beni,swamp water
dába ọtọkọ,hard clay soil
dába-biri-igoligo,thorny creeping plant used for yam stakes
dába-biri-igoligo,used abusively to call someone ugly
dábou,kolanut
dábou tịn,kolanut tree
gboro mọ bein mọ́ dàbou,kolanut tree that yields fruits immediately after it has been planted
dábou,a quick reward
daụ́,father
daụ́,father’s brother
daụ́,senior and respected man
daụ-otú,fathers
daụ́,elders
daụ́,male employer
daụ-amá,fatherland
daụ-amá,native country
daụ-angá,father’s side
daụ-angá,male side of family
dáwaị²,dream
dáwaị dụụ̀,dreamland
Débe,Nembe
Débe kịmị,Nembe person
déinbiri,midnight
déin-erewọụ,spirits of the dead which are believed to be playing or working with people in the late hours of the day and at night
déintuu,amount of light available on a moonless night
déipụgọụ,fishing-rod
déi-ugu,fish-hook
déin-wẹnịaraụ,witch
desi-ní-ụ̀ba-bẹ́ịn,"small shrimp, probably Desmocaris trispinosa"
desipẹ́lẹ̀,"cricket sp. , which eats leaves of water-yam and other crops"
dẹdẹẹ́,a moderate amount
dẹ́fịye,table
dẹ́sịmàlị,decimal
dẹ́sịmàlị ipesi,decimal place
dẹ́sịmàlị lelei,decimal point
dẹ́sịmàlị paaraị,decimal fraction
dibí²,short strong pillar of “ironwood” on which yam barn rests
díi²,rope from bush
díi²,a climbing plant
díi tụa,commit suicide
diibọọ́,caretaker
diinaá,herb used for time-keeping
dílì,beam
dílì,scantling
díri,“medicine”
díri gụọ,make “medicine”
díri,dáa dirì “medicine” used as a test
ofóni sei diri,"medicine believed to produce a very bad odour if applied to the body, usually applied by women to their “mates” so that they may be disliked by their husbands"
tịịn dirí,"any “medicine” that draws out thorns, etc., embedded in flesh"
dirima-ịwọ́nrọ̀nrọn,shrub
dịẹ́³,midway
dịẹ́³,midpoint
dịẹleleí,division sign
dịẹmẹíṇ,be spread
dịẹmẹíṇ,be scattered all over
doweí,tenpounder
dọụfiyé,agriculture
dọụfiyé tòlumọbara,agricultural education
dọ́ụ̀n,grub living in wine-palm or young oil-palm tree when felled
dọụyé¹,desire
dúdu,Red-legged Sun-squirrel
dúma¹,hair
dúma duma,hairy
dúma kpolu,tuft of hair
atánịbolou duma,hair of armpit
tíḅ ị dumà,hair of head
dúma¹,eyelash
tọ́rụ ẹ̀kẹkẹ duma,hair of eyebrow
dúma²,song
dúma²,hymn
dúma ogo,"raise song with variations, with the chorus coming in now and then, in traditional style"
dúma saraụ,answer song
dúma seri,raise song
dúma sụụ,singing combat
dúma tun,sing song
dúma³,hole in swamp where fishes hide
duopaabará,citizenship
duopaabará tòlumọbara,citizenship education
dúu-ere,widow
tíḅ ị kadẹị dù-ere,woman who has been widowed more than once
duweiyọ́,dislocation
dụ́mụụ,upright ascending column of smoke
dụ́nọụn,fishing lake
dụ́nọụn imbi,fish on a lake
dụ́nọụn san,arm of lake
dụ́nọụn tịbị,main part of lake
dụ́nụdọọ̀n,convulsions
dụ́ụ̀,principal rafter
dụ́wẹị,corpse
dụ́wẹị,dead body
dụ́wẹị,dead person
dụ́wẹịama,dead bodies
dụ́wẹị,town of the corpses
dụ́wẹị,corpses
dụ́wẹị,ghosts from the land of the dead
dụ́wẹị,fable-land
dụ́wẹị bẹẹlị,consult the spirit of the dead
dụ́wẹị bii,consult the dead
dụ́wẹị bou,burial- ground
dụ́wẹị,cemetery
dụ́wẹị dibi,bury corpse
dụ́wẹị ekpeti,coffin
dụ́wẹị fọkọ bou,swear by the ancestors
dụ́wẹị fọụn,transfer dead body from one burial place to another
dụ́wẹị fụrụ,smell like corpse
dụ́wẹị gbeila,sing funeral dirges
dụ́wẹị karị,worship the dead
dụ́wẹị koru,keep wake
dụ́wẹị ogugu,grave
dụ́wẹị saa,money or drink paid to the ancestors for committing certain crimes against them
dụ́wẹị sou,exhume
dụ́wẹị sụn,lie in state
dụ́wẹị sụụrụ,wash a corpse
dụ́wẹị tẹmẹ,honour the dead with the shooting of guns and with dances
dụ́wẹị udubu,tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ
dụ́wẹịberisọọnlei,buffalo grass
dụ́wẹịfịla,cuckoo-spit
dụ́wẹị-ịyaụ,"inedible herb, fruits used for feeding fowls at Government Agriculture farms LEGUMINOSAE-PAPILIONIOIDEAE)"
dụ́wẹị-opuru,discoloured species of
dụ́wẹị-ọvụrụn,large poisonous hairy spider
dụ́wẹị-ọvụrụn,tarantula
ebéle,wide drum beaten with the two hands during masquerade or wrestling
Ebieré,female personal name
ebieré-tòmu-teighá,cocoyam
Ebiíbòmọ́,personal name
Ebiísẹẹ,personal name
Ebiízìimọ́,personal name
Ebikíyè,male personal name
Ebikí-ìneí,personal name
Ebikọ́ọ̀bó,personal name
Ebimịẹ́,personal name
Ebiní-ịmịẹ́,personal name
Ebipaadọ́,personal name
ebirí,gale
ebirí,storm
Ebitẹmẹ́,"Holy Ghost, Holy Spirit"
Ebitimí,personal name
ebulú¹,"fleece, mane, round the neck of a ram"
ebulú¹,"head-covering made from this, used by warriors"
ebulú²,the flower of a certain grass
edé,screwpine
edé dàị,make thread out of screwpine ready for weaving
edédegu,audience
edédegu,a large quantity
edelé,"temporary canopy, traditionally of wooden posts supporting a covering of mats, erected in the open for a ceremony"
edídi,"sudden feeling of cold, accompanied by a rise in temperature, preceding a fever"
edídi,rigor
edidụnụ́,muscle contraction
ediedié,astonishment
ediedié,perplexity
ediedié kọ̀rí ̣,to be puzzled
edií¹,"throbbing, usually taken as an omen"
ebi edí,good omen
sei edí,bad omen
edi dụnụ́,be felt
edií²,patience
edi poú,be patient
edi kpeké,be nervous
edií³,fish-trap
edi pịtẹ́,set such a fish-trap
efénù,a very light top
egbé¹,freshwater swamp snail used as bait for fish
egbé¹,apple snail
bíḅ ị-finigha-ègbe,taciturn person
egbé²,opportunity to indulge in a favourite activity
egbé fìnií,be there
egbé³,"container of fruit, foetus"
egbelegbélè,musical instrument made from horn of animal or from metal
egbelegbélè,bugle
egbelegbélè,trumpet
egbelegbélè,bine blow horn
egberí,word
egberí,news
egberí,story
egberí,history
egberi gbaá,tell story
egberi lulumọ́,exaggerate a story
oru egbérì,history
Egbérì,male personal name
Egberibíìn,male personal name
Egberipóù,male personal name
egelegeé,a word of exclamation
egí,ganglion
egúe,"bird, possibly a red-breasted bush- shrike"
eké,"tree producing a very light wood, used mostly for making drums and utensils"
ekeké,a style of shaving the hair whereby the hair near the ears is merely shaved round with no trimming
ekeké,ekeke pẹlẹ́ shave in this way
ekére¹,wooden slit-gong
ekére¹,“tomtom”
ekére²,"soup without okro, “bush mango” seeds, or “egusi”, usually thickened with owéibùrú ekéregù see ekérekù"
eke-sụ́ọghà,a store made of mud above the fireplace
eketé,roundish basket
ekílekilè,stilt
ekílekilè wẹnị,walk on stilts
ekirimekí,"core, middle, heart of a thing"
bou ekírimèki,the heart of the forest
Ekpéin,the name of the founder of Kaiama
Ekpéinbiri,"former name of the town of Kaiama, named after the founder, which still exists and is called when performing some traditional and customary rites"
ekpékpe,"small wooden slit drum with handle, used for proclamations and as musical instrument"
ekpékpe gbele,"make proclamation, announcement"
ekpékpegbeleowei,town-crier
ekpékpọ̀ọlọ,"a bird found on sandbanks, the White-Headed Lapwing , named after its long hanging eye wattle"
ekpéla,tree used for building or firewood
ékpèla,largest size of the aíṇ fish
Ekpésùsú,"chief deity of Ọkọ́dịa ibe, whose seat is at Agbobiri"
ekpéti,box
ekpéti,chest
ekpéti,case
ekpétifụrụmọ,camphor
ekpúrutè,medium mortar
ekpú-tèri-bịdẹ,cloth used to cover the corpse and then sent to the yábị biri of the deceased
ekú,dreaded occurrence
ekú,an apparently impossible happening
ekú,a false story
ekú wò!,God forbid!
ekúe,"row of mounds,  of yam, in a farm"
ekuekúè²,alarm
ekúe-odu,reddish variety of cocoyam
ekuré,stubbing of one’s toe
elé,chimpanzee
elé,“gorilla”
eléì,fish
eleké¹,name given to a person who wanders about
elémulemù,well
elú,land-crab
emeremuú²,exist;laziness
emeremuú²,indolence
emí,be present
emíyọ,address
emumú,breeze
epelepélè,a fish
epetemuú,"deep, sound sleep"
Epiébòlou,Epié ìbe in Northern Nzọn
epilé,a string or cord strung inside bedroom across adjacent walls for hanging clothes
épìni,halfpenny
epú¹,pangolin
epumú,mould
eré,woman
erébara angà,"female side, i.e. left"
eré bẹrẹ,marry woman by the big bride-price system
eré bịbị,"matters, problems, concerning women"
eré bụụ,inside of vagina
eré dọụ,be after women
eré fẹẹ,marry on big bride-price system
eré ikia,marry on small bride-price system
eré ịsọụ,young woman
eré koro,face resembling that of a woman
eré koro,fall flat on the back
eré laa,attain womanhood
eré nana,marry a woman
eré paa,develop one’s personality
eré,come of age
eré tei,make love with a woman
wárị wẹ̀rịmọ ere,"a wife, i.e. a girl married on “big dowry” and taken to stay with the husband while still under age"
eré ziimọ,deliver of a child
