word,part_of_speech,meaning,example,meaning_original,original_meaning
abélebei,n.,"the leaves of the plant whose stem is called uté, used for wrapping food",,"the leaves of the plant whose stem is called uté, used for wrapping food; eré- abelebei (Sarcophrynium ?prionogonium (K. Schum.) K. Schum., and S. brachystachys (Benth.) K. Schum.); ịzọ́n- abelebei (Marantochloa purpurea (Ridl.) Milne-Redh. and M. leucantha (K. Schum.) Milne-Redh.); owéi-abelebei (Halopegia azurea (K. Schum.) K. Schum., all MARANTACEAE); póu-abelebei variety of above with red underside to leaves, used to cover corpse of those who die accidentally","the leaves of the plant whose stem is called uté, used for wrapping food"
aberéi,n.,basket to contain fish freshly caught in a lake,,basket to contain fish freshly caught in a lake,basket to contain fish freshly caught in a lake
aboróu¹,n.,light membrane covering eye or sore,,light membrane covering eye or sore,light membrane covering eye or sore
aboróu²,n.,cobweb along a bush path,,cobweb along a bush path,cobweb along a bush path
Abọ́¹,n.,"Aboh, a town on the Niger south of Onitsha and north of Umuoru",,"Aboh, a town on the Niger south of Onitsha and north of Umuoru","Aboh, a town on the Niger south of Onitsha and north of Umuoru"
abọ́²,n.,an oblong basket made of cane-rope with a wooden base,,an oblong basket made of cane-rope [screwpine?] with a wooden base [cf. Igbo ábọ́ ‘cane basket with long rectangular wooden base’],an oblong basket made of cane-rope with a wooden base
ábọ̀,n.,thumb-piano,,thumb-piano; sanza,thumb-piano
abọọ́,n.,scabbard,,scabbard; sheath,scabbard
abọọ́,n.,sheath,,scabbard; sheath,sheath
abulúkù,n.,kilt worn by men for wrestling and processions,sụụ abúlukù war- kilt,kilt worn by men for wrestling and processions (egelé),kilt worn by men for wrestling and processions
adaá¹,n.,paint,,paint,paint
adagbafẹrẹ́,n.,big heavy breakable dish from which several people could eat,,big heavy breakable dish from which several people could eat,big heavy breakable dish from which several people could eat
adákà,n.,"fierce, strong animal like lion",,"fierce, strong animal like lion","fierce, strong animal like lion"
adakádà,n.,nonsense,"Béi yè gbanghịbị, adakádà This thing you want to say, it’s nonsense. adákàyú as in adákàyú adákàyú kàámèé full of complaints about this or that",nonsense,nonsense
adamú,n.,convulsion,,convulsion(s),convulsion
adié,n.,inland swamp,indi adíè/opúru adie colony of fish/prawns,"A. inland swamp; adie bení water collected from the marshlands in the dry season for religious purposes; B. (fig.) colony; place rich in fish, prawns, etc",inland swamp
adié,n.,water collected from the marshlands in the dry season for religious purposes,indi adíè/opúru adie colony of fish/prawns,"A. inland swamp; adie bení water collected from the marshlands in the dry season for religious purposes; B. (fig.) colony; place rich in fish, prawns, etc",water collected from the marshlands in the dry season for religious purposes
adié,n.,colony,indi adíè/opúru adie colony of fish/prawns,"A. inland swamp; adie bení water collected from the marshlands in the dry season for religious purposes; B. (fig.) colony; place rich in fish, prawns, etc",colony
adié,n.,"place rich in fish, prawns, etc",indi adíè/opúru adie colony of fish/prawns,"A. inland swamp; adie bení water collected from the marshlands in the dry season for religious purposes; B. (fig.) colony; place rich in fish, prawns, etc","place rich in fish, prawns, etc"
adíebèlebe,n.,crisis,,crisis; upheaval; uproar; great confusion,crisis
adíebèlebe,n.,upheaval,,crisis; upheaval; uproar; great confusion,upheaval
adíebèlebe,n.,uproar,,crisis; upheaval; uproar; great confusion,uproar
adíebèlebe,n.,great confusion,,crisis; upheaval; uproar; great confusion,great confusion
adịká¹,n.,a dance from ụkwụanị in Delta State that flourished in the 1940s,,a dance from ụkwụanị in Delta State that flourished in the 1940s,a dance from ụkwụanị in Delta State that flourished in the 1940s
adoó,n.,basket without flat base,,basket without flat base,basket without flat base
afánfan,n.,corkwood,,corkwood; umbrella tree (Musanga cecropioides R. Br. CECROPIACEAE),corkwood
afánfan,n.,umbrella tree,,corkwood; umbrella tree (Musanga cecropioides R. Br. CECROPIACEAE),umbrella tree
agáda,n.,"dane-gun, shorter than asángba",,"dane-gun, shorter than asángba","dane-gun, shorter than asángba"
Agáda,n.,nickname for Ekpétiama ibe,,nickname for Ekpétiama ibe,nickname for Ekpétiama ibe
agadagbá,n.,"large clupeid, a larger fish than isóun",,"large clupeid, a larger fish than isóun (Odaxothrissa mento Regan CLUPEIDAE)","large clupeid, a larger fish than isóun"
Agadagbábòu,n.,important historical site from where most Kolokuma towns migrated to their present settlements,,important historical site from where most Kolokuma towns migrated to their present settlements (=Oruamábòu) agakú see agokú male agama lizard,important historical site from where most Kolokuma towns migrated to their present settlements
agalá,n.,javelin,,javelin,javelin
agáụ̀,n.,smaller axe used in hollowing out wooden mortars and plates,,smaller axe used in hollowing out wooden mortars and plates (= bíḅ ị-dụnụ- ogou),smaller axe used in hollowing out wooden mortars and plates
agbaá¹,n.,trigger,,trigger,trigger
agbaá²,n.,protective “medicine” for war,"agba ghọ bọọ́ become the exception(s) in a group who suffer some injury, such as a wasp-sting or a hit by a bullet or missile",protective “medicine” for war,protective “medicine” for war
agbaá³,n.,funnel-entrance fish-trap,,funnel-entrance fish-trap,funnel-entrance fish-trap
agbábụgbabụ̀teereé,n.,bird sp the Piping Hornbill,,"bird sp., the Piping Hornbill (Bycanistes fistulator BUCEROTIDAE)",bird sp the Piping Hornbill
agbadá,n.,large shrimp,,large shrimp; “lobster” (Macrobrachium vollenhovenii); agbada ịsọ́ụ young “lobster”; owéi àgbadá male “lobster” (contrast eréwèrí for female with eggs),large shrimp
agbadá,n.,“lobster”,,large shrimp; “lobster” (Macrobrachium vollenhovenii); agbada ịsọ́ụ young “lobster”; owéi àgbadá male “lobster” (contrast eréwèrí for female with eggs),“lobster”
agbadá,n.,agbada ịsọ́ụ young “lobster”,,large shrimp; “lobster” (Macrobrachium vollenhovenii); agbada ịsọ́ụ young “lobster”; owéi àgbadá male “lobster” (contrast eréwèrí for female with eggs),agbada ịsọ́ụ young “lobster”
agbadá,n.,owéi àgbadá male “lobster”,,large shrimp; “lobster” (Macrobrachium vollenhovenii); agbada ịsọ́ụ young “lobster”; owéi àgbadá male “lobster” (contrast eréwèrí for female with eggs),owéi àgbadá male “lobster”
agbádà¹,n.,rib,,rib (human or animal),rib
agbaị-áràụ,n.,girl-friend,,girl-friend; (female) lover (=téi-aràụ),girl-friend
agbaị-áràụ,n.,lover,,girl-friend; (female) lover (=téi-aràụ),lover
agbaị-ówèi,n.,boy-friend,,boy-friend; (male) lover (=téi- owèi),boy-friend
agbaịtọ́bọ̀ụ,n.,child born outside wedlock,,child born outside wedlock;,child born outside wedlock
agbaịde,n.,fourth-generation slave,,fourth-generation slave,fourth-generation slave
agbaká,n.,shoe,,shoe; beni-wẹnị-ágbàka rainboot; tíṇ -agbaka wooden shoe; clog; sabot,shoe
beni-wẹnị-ágbàka,n.,rainboot,,shoe; beni-wẹnị-ágbàka rainboot; tíṇ -agbaka wooden shoe; clog; sabot,rainboot
tíṇ -agbaka ,n.,wooden shoe,,shoe; beni-wẹnị-ágbàka rainboot; tíṇ -agbaka wooden shoe; clog; sabot,wooden shoe
agbaká,n.,clog,,shoe; beni-wẹnị-ágbàka rainboot; tíṇ -agbaka wooden shoe; clog; sabot,clog
agbaká,n.,sabot,,shoe; beni-wẹnị-ágbàka rainboot; tíṇ -agbaka wooden shoe; clog; sabot,sabot
agbalálà¹,n.,herb used as ear medicine,,herb used as ear medicine (Cleome rutidosperma DC. CAPPARACEAE),herb used as ear medicine
agbalálà²,n.,"sticky resin from the ọkọlọ́lọ̀ tree,",,"sticky resin from the ọkọlọ́lọ̀ tree, Symphonia globulifera","sticky resin from the ọkọlọ́lọ̀ tree,"
agbárabou,n.,"burial-ground for anyone whose life is suddenly cut short, through suicide, accident, or any outside agency , but not through sickness",,"burial-ground for anyone whose life is suddenly cut short, through suicide, accident, or any outside agency (ụwọ́ fị), but not through sickness (=seiboú)","burial-ground for anyone whose life is suddenly cut short, through suicide, accident, or any outside agency , but not through sickness"
agbárakà,n.,oracle,agbárakà gbein cast an oracle and interpret it,oracle; the act of consulting it,oracle
agbárakà,n.,the act of consulting it,agbárakà gbein cast an oracle and interpret it,oracle; the act of consulting it,the act of consulting it
Agbobiri,n.,the headquarters of Ọkọ́dịa ibe in Northern Nzọn,,the headquarters of Ọkọ́dịa ibe in Northern Nzọn,the headquarters of Ọkọ́dịa ibe in Northern Nzọn
agbobú,n.,chest,,chest; bosom; courage; six feet (measured against the chest); agbobú kụ̀rọ́ be courageous,chest
agbobú,n.,bosom,,chest; bosom; courage; six feet (measured against the chest); agbobú kụ̀rọ́ be courageous,bosom
agbobú,n.,courage,,chest; bosom; courage; six feet (measured against the chest); agbobú kụ̀rọ́ be courageous,courage
agbobú kụ̀rọ́ ,n.,agbobú kụ̀rọ́ be courageous,,chest; bosom; courage; six feet (measured against the chest); agbobú kụ̀rọ́ be courageous,agbobú kụ̀rọ́ be courageous
agbobudirí,n.,Dutchman’s pipe,,Dutchman’s pipe (Aristolochia spp. ARISTOLOCHIACEAE) [‘chest- medicine’],Dutchman’s pipe
agbobutítì,n.,influenza,,influenza [‘chest-striking’],influenza
agóyà,n.,processional dance type,,processional dance type (egelé),processional dance type
agué,n.,bay,,bay,bay
agúì,n.,crocodile,,"crocodile; praise-name or title for someone who is strong (=igeré) [< Igbo ágụ́-íyī ‘crocodile’] (cf. igeré, atú, segí (archaic), túgu)",crocodile
agúì,n.,"praise-name or title for someone who is strong , túgu)",,"crocodile; praise-name or title for someone who is strong (=igeré) [< Igbo ágụ́-íyī ‘crocodile’] (cf. igeré, atú, segí (archaic), túgu)","praise-name or title for someone who is strong , túgu)"
aguún,n.,purple,,purple,purple
aká¹,n.,tooth,Wo aká tùu dọọnyemí He has toothache; aká tụa replace tooth that has fallen out; apálị aka two teeth growing from the place of one [?]; buru fị ákà first four milk-teeth; ukuka aká molar tooth,tooth; aká dei lose milk-teeth; aká fị grind teeth; aká ovuru space between two front teeth; aká tuu dọ̀ọ́n/serí have toothache,tooth
aká dei ,n.,lose milk-teeth,Wo aká tùu dọọnyemí He has toothache; aká tụa replace tooth that has fallen out; apálị aka two teeth growing from the place of one [?]; buru fị ákà first four milk-teeth; ukuka aká molar tooth,tooth; aká dei lose milk-teeth; aká fị grind teeth; aká ovuru space between two front teeth; aká tuu dọ̀ọ́n/serí have toothache,lose milk-teeth
aká fị,n.,grind teeth,Wo aká tùu dọọnyemí He has toothache; aká tụa replace tooth that has fallen out; apálị aka two teeth growing from the place of one [?]; buru fị ákà first four milk-teeth; ukuka aká molar tooth,tooth; aká dei lose milk-teeth; aká fị grind teeth; aká ovuru space between two front teeth; aká tuu dọ̀ọ́n/serí have toothache,grind teeth
aká ovuru,n.,space between two front teeth,Wo aká tùu dọọnyemí He has toothache; aká tụa replace tooth that has fallen out; apálị aka two teeth growing from the place of one [?]; buru fị ákà first four milk-teeth; ukuka aká molar tooth,tooth; aká dei lose milk-teeth; aká fị grind teeth; aká ovuru space between two front teeth; aká tuu dọ̀ọ́n/serí have toothache,space between two front teeth
aká tuu dọ̀ọ́n/serí ,n.,have toothache,Wo aká tùu dọọnyemí He has toothache; aká tụa replace tooth that has fallen out; apálị aka two teeth growing from the place of one [?]; buru fị ákà first four milk-teeth; ukuka aká molar tooth,tooth; aká dei lose milk-teeth; aká fị grind teeth; aká ovuru space between two front teeth; aká tuu dọ̀ọ́n/serí have toothache,have toothache
aká²,n.,edge,aká baị turn under the edge (of a cloth); hem (a cloth),edge; side,edge
aká²,n.,side,aká baị turn under the edge (of a cloth); hem (a cloth),edge; side,side
akaán³,n.,a hero,,a hero,a hero
akáan,n.,"bird, the Yellow-casqued Hornbill",,"bird, the Yellow-casqued Hornbill (Ceratogymna elata BUCEROTIDAE)","bird, the Yellow-casqued Hornbill"
akáịn,n.,“thatch”,,"“thatch” (i.e. thatching-mat, many of which are used to thatch a house)",“thatch”
Akanranbiri,n.,town in Opokumá ìbe of Northern Nzọn,,town in Opokumá ìbe of Northern Nzọn,town in Opokumá ìbe of Northern Nzọn
akara,n.,fried bean-cake,,"fried bean-cake [<Yoruba, Urhobo àkàrà]",fried bean-cake
akáraka,n.,horse grass,,horse grass (Setaria megaphylla (Steud.) Dur. & Schinz GRAMINEAE),horse grass
akaramú,n.,glutton,,glutton; gourmand,glutton
akaramú,n.,gourmand,,glutton; gourmand,gourmand
akásịị,n.,edible fungus,,edible fungus; sclerotium of Lentinus tuber-regium,edible fungus
akásịị,n.,sclerotium of Lentinus tuber-regium,,edible fungus; sclerotium of Lentinus tuber-regium,sclerotium of Lentinus tuber-regium
akásọkịye,n.,toothpick,,toothpick [aká + sọ́kị pick out + yé thing],toothpick
akásọ̀ụsọụ,n.,yam cultivar,,yam cultivar,yam cultivar
akáta,n.,"fish, the sailfin or bichir , one of the strongest fish",,"fish, the sailfin or bichir (Polypterus spp.), one of the strongest fish; ebi akátà P. senegalus Cuvier; sei akátà P. ansorgei Boulenger, P. endlicheri Heckel, all POLYPTERIDAE","fish, the sailfin or bichir , one of the strongest fish"
akáyènghibáụ,n.,praying mantis,,praying mantis (MANTIDAE),praying mantis
akií,n.,tree which provides good firewood,,"tree which provides good firewood (Cynometra vogelii Hook.f. LEGUMINOSAE- CAESALPINIOIDAE, or possibly Parinari excelsa Sabine CHRYSOBALANCEAE)",tree which provides good firewood
akó,n.,edgeways,akó tịẹ stand edgeways,edgeways,edgeways
akolóu,n.,slipknot,,slipknot,slipknot
akoó,n.,a fish e,,a fish (Mormyrus rume C. & V. PANTODONTIDAE),a fish e
akóto¹,n.,snuff-box,,snuff-box,snuff-box
akóto²,n.,game played with many tops,,game played with many tops,game played with many tops
akpaá,n.,bag,,A. bag; sack; pocket (general term; cf. akpụ́rụ̀) ; B. belly (of humans); opu akpá stomach of animals (cf. opu furóu),bag
akpaá,n.,sack,,A. bag; sack; pocket (general term; cf. akpụ́rụ̀) ; B. belly (of humans); opu akpá stomach of animals (cf. opu furóu),sack
akpaá,n.,pocket,,A. bag; sack; pocket (general term; cf. akpụ́rụ̀) ; B. belly (of humans); opu akpá stomach of animals (cf. opu furóu),pocket
akpaá,n.,belly,,A. bag; sack; pocket (general term; cf. akpụ́rụ̀) ; B. belly (of humans); opu akpá stomach of animals (cf. opu furóu),belly
opu akpá,n.,stomach of animals,,A. bag; sack; pocket (general term; cf. akpụ́rụ̀) ; B. belly (of humans); opu akpá stomach of animals (cf. opu furóu),stomach of animals
akpaịnkóro,n.,nickname for edible snail,,nickname for edible snail (osií) [< Abọ],nickname for edible snail
akpákpa¹,n.,"wall ,",Béi kịmì ḳ ọ́kọ nì ̣ akpákpa nanamị This person really has strength.,"wall (of house), usu. wárị àkpakpa; hence, page (of book), usu. fún akpakpa; (fig.)strength","wall ,"
akpákpa¹,n.,"hence, page",Béi kịmì ḳ ọ́kọ nì ̣ akpákpa nanamị This person really has strength.,"wall (of house), usu. wárị àkpakpa; hence, page (of book), usu. fún akpakpa; (fig.)strength","hence, page"
akpákpa¹,n.,strength,Béi kịmì ḳ ọ́kọ nì ̣ akpákpa nanamị This person really has strength.,"wall (of house), usu. wárị àkpakpa; hence, page (of book), usu. fún akpakpa; (fig.)strength",strength
akpálakpa,n.,plank,,plank,plank
akpangbú,n.,improvised play-gun prepared with the stem of the Indian bamboo,,improvised play-gun prepared with the stem of the Indian bamboo,improvised play-gun prepared with the stem of the Indian bamboo
akpárakparà,n.,large stiff mat woven with the pith of the bamboo palm,,large stiff mat woven with the pith (pínì) of the bamboo palm (boyá),large stiff mat woven with the pith of the bamboo palm
akpórogù,n.,long dug-out trough used for mashing palm fruits,,long dug-out trough used for mashing palm fruits,long dug-out trough used for mashing palm fruits
akpotú,n.,trouble,,trouble (=eseé) [any more synonyms?],trouble
akpúkè²,n.,kind of yellow water-yam,,kind of yellow water-yam,kind of yellow water-yam
akpụ́rụ̀,n.,bag,,bag; sack (cf. akpaá),bag
akpụ́rụ̀,n.,sack,,bag; sack (cf. akpaá),sack
akúsì,n.,"power of staying alone and receiving sustenance by reason of old age, primarily of an old python , which is believed to remain in one place with its mouth open ready to snap closed on anything that enters",Uturoówèibi akúsì nanadọ́ The “boa constrictor” has the power to receive whatever comes its way; (fig.) of old people who remain in the house and are supported by gifts: Kósubọbị àkúsì nanadọ́ The elderly person is being supported by gifts.,"power of staying alone and receiving sustenance by reason of old age, primarily of an old python (“boa constrictor”), which is believed to remain in one place with its mouth open ready to snap closed on anything that enters","power of staying alone and receiving sustenance by reason of old age, primarily of an old python , which is believed to remain in one place with its mouth open ready to snap closed on anything that enters"
akuú,n.,girth,,girth; width,girth
akuú,n.,width,,girth; width,width
akụ́²,n.,"tree with strong wood, often used for canoes",,"tree with strong wood, often used for canoes; “oak-tree” (Panda oleosa Pierre PANDACEAE)","tree with strong wood, often used for canoes"
akụ́²,n.,“oak-tree”,,"tree with strong wood, often used for canoes; “oak-tree” (Panda oleosa Pierre PANDACEAE)",“oak-tree”
akụ́là,n.,leech,,leech,leech
Akụmọnị,n.,town in Ọkọ́dịa ibe of Northern Nzọn,,town in Ọkọ́dịa ibe of Northern Nzọn,town in Ọkọ́dịa ibe of Northern Nzọn
akụnakụ́nà,n.,harlot,1)(cid:1)n(cid:1)(cid:1) àkwụ́nà ‘prostitute’],harlot; whore; prostitute; tart [cf. Igbo àkwù(cid,harlot
akụnakụ́nà,n.,whore,1)(cid:1)n(cid:1)(cid:1) àkwụ́nà ‘prostitute’],harlot; whore; prostitute; tart [cf. Igbo àkwù(cid,whore
akụnakụ́nà,n.,prostitute,1)(cid:1)n(cid:1)(cid:1) àkwụ́nà ‘prostitute’],harlot; whore; prostitute; tart [cf. Igbo àkwù(cid,prostitute
akụnakụ́nà,n.,tart,1)(cid:1)n(cid:1)(cid:1) àkwụ́nà ‘prostitute’],harlot; whore; prostitute; tart [cf. Igbo àkwù(cid,tart
akụ́ratà,n.,"shrub known for its bitterness, used as chewing-stick",,"shrub known for its bitterness, used as chewing-stick","shrub known for its bitterness, used as chewing-stick"
alabúmà,n.,silt,,pl. silt (contrast obúdu),silt
Aláere,n.,female personal name,,female personal name [ala³ + eré woman],female personal name
alagbalaá,n.,paint,,paint; gum (e.g. from ọkọlọ́lọ̀) (=agbalaá) ?,paint
alagbalaá,n.,gum,,paint; gum (e.g. from ọkọlọ́lọ̀) (=agbalaá) ?,gum
Aláowei,n.,female personal name,,female personal name [ala³ + owéi man] (=O¢¢l¢¢ áowei),female personal name
alápa,n.,jellyfish,,jellyfish,jellyfish
alegí,n.,"crafty, cunning, artful, wily person",,"crafty, cunning, artful, wily person (=ikégi)","crafty, cunning, artful, wily person"
alụkpụ́kpà,n.,"red earth or laterite, used for renovating mud walls",,"red earth or laterite, used for renovating mud walls","red earth or laterite, used for renovating mud walls"
Alúku,n.,the title for Kólokùmá ìbe,,the title for Kólokùmá ìbe,the title for Kólokùmá ìbe
amá,n.,town,Amá ì nimi kụ́mọ Let the town(speople) not know me (said when someone is trying to deceive people): Amá gbẹdịbọ kịmị kị àkị bólou ghọ tụanìmí The person who abuses a town has a particular person in mind.,town; village; settlement amá dọu search the town when looking for suspects; amá fị live as harlot; indulge in prostitution; amá kpụn perform a ritual in which a red-feathered fowl (asịn-ofónì) is tied to palm-fronds and dragged from north to south of the town to cleanse it from evil spirits before the farming season begins,town
amá,n.,village,Amá ì nimi kụ́mọ Let the town(speople) not know me (said when someone is trying to deceive people): Amá gbẹdịbọ kịmị kị àkị bólou ghọ tụanìmí The person who abuses a town has a particular person in mind.,town; village; settlement amá dọu search the town when looking for suspects; amá fị live as harlot; indulge in prostitution; amá kpụn perform a ritual in which a red-feathered fowl (asịn-ofónì) is tied to palm-fronds and dragged from north to south of the town to cleanse it from evil spirits before the farming season begins,village
amá,n.,settlement,Amá ì nimi kụ́mọ Let the town(speople) not know me (said when someone is trying to deceive people): Amá gbẹdịbọ kịmị kị àkị bólou ghọ tụanìmí The person who abuses a town has a particular person in mind.,town; village; settlement amá dọu search the town when looking for suspects; amá fị live as harlot; indulge in prostitution; amá kpụn perform a ritual in which a red-feathered fowl (asịn-ofónì) is tied to palm-fronds and dragged from north to south of the town to cleanse it from evil spirits before the farming season begins,settlement
amá fị,n.,live as harlot,Amá ì nimi kụ́mọ Let the town(speople) not know me (said when someone is trying to deceive people): Amá gbẹdịbọ kịmị kị àkị bólou ghọ tụanìmí The person who abuses a town has a particular person in mind.,town; village; settlement amá dọu search the town when looking for suspects; amá fị live as harlot; indulge in prostitution; amá kpụn perform a ritual in which a red-feathered fowl (asịn-ofónì) is tied to palm-fronds and dragged from north to south of the town to cleanse it from evil spirits before the farming season begins,live as harlot
amá,n.,indulge in prostitution,Amá ì nimi kụ́mọ Let the town(speople) not know me (said when someone is trying to deceive people): Amá gbẹdịbọ kịmị kị àkị bólou ghọ tụanìmí The person who abuses a town has a particular person in mind.,town; village; settlement amá dọu search the town when looking for suspects; amá fị live as harlot; indulge in prostitution; amá kpụn perform a ritual in which a red-feathered fowl (asịn-ofónì) is tied to palm-fronds and dragged from north to south of the town to cleanse it from evil spirits before the farming season begins,indulge in prostitution
amá kpụn ,n.,perform a ritual in which a red-feathered fowl is tied to palm-fronds and dragged from north to south of the town to cleanse it from evil spirits before the farming season begins,Amá ì nimi kụ́mọ Let the town(speople) not know me (said when someone is trying to deceive people): Amá gbẹdịbọ kịmị kị àkị bólou ghọ tụanìmí The person who abuses a town has a particular person in mind.,town; village; settlement amá dọu search the town when looking for suspects; amá fị live as harlot; indulge in prostitution; amá kpụn perform a ritual in which a red-feathered fowl (asịn-ofónì) is tied to palm-fronds and dragged from north to south of the town to cleanse it from evil spirits before the farming season begins,perform a ritual in which a red-feathered fowl is tied to palm-fronds and dragged from north to south of the town to cleanse it from evil spirits before the farming season begins
ámà¹,n.,"medicine or charm believed to have magnetic force to direct one to one’s destination, or to detect poison or find lost property",,"medicine or charm believed to have magnetic force to direct one to one’s destination, or to detect poison or find lost property","medicine or charm believed to have magnetic force to direct one to one’s destination, or to detect poison or find lost property"
amádaa-owei,n.,chief of a town recognized by Government,,chief of a town recognized by Government [‘town-rule-man’],chief of a town recognized by Government
amádii-owei,n.,sanitary inspector,,sanitary inspector [‘town- inspect-man’],sanitary inspector
Amadọ́sụ̀,n.,chief male deity of Ekpétiama ibe,,chief male deity of Ekpétiama ibe,chief male deity of Ekpétiama ibe
amá-ì-nimi-kụ́mọ,n.,grub which inhabits young live wine-palms,,"grub (dọ́ụ̀n) which inhabits young live wine-palms; (fig.) somone who does things secretly, claiming not to be known (=loí)",grub which inhabits young live wine-palms
amá-ì-nimi-kụ́mọ,n.,"somone who does things secretly, claiming not to be known",,"grub (dọ́ụ̀n) which inhabits young live wine-palms; (fig.) somone who does things secretly, claiming not to be known (=loí)","somone who does things secretly, claiming not to be known"
amákiri,n.,"ground, soil, land of the town",amákiri fẹẹ carry a sickly child to a priest who for a fee mixes earth with water and marks the child’s forehead (=amá-ogbo) [‘town-land’],"ground, soil, land of the town","ground, soil, land of the town"
amákọtọkọ,n.,clay for moulding,,clay for moulding,clay for moulding
amámịẹmịẹye,n.,customs and accepted institutions of a town,,customs and accepted institutions of a town [‘town-do x2-thing’],customs and accepted institutions of a town
amánanaaraụ,n.,"female head of village, responsible for women’s affairs in the town",,"f. female head of village, responsible for women’s affairs in the town;","female head of village, responsible for women’s affairs in the town"
amá-ogbo,n.,land of the town,,land of the town (=amákiri),land of the town
amá-ogbokịmị,n.,an indigene of a town,,an indigene of a town [‘town-land-person’],an indigene of a town
amarán¹,n.,paddle ̣,,paddle (= yọwẹí)̣ [< Igbo àmàlà ‘paddle’],paddle ̣
amarán²,n.,trace,,trace,trace
amásẹẹ̀diri,n.,herb used for curing headaches,,herb used for curing headaches (Hyptis lanceolata Poir. LABIATAE) [lit. ‘town-whole-medicine’],herb used for curing headaches
Amasómà,n.,headquarters of Ogboin ibe in Southern Nzọn,,headquarters of Ogboin ibe in Southern Nzọn,headquarters of Ogboin ibe in Southern Nzọn
amátẹmẹsuo,n.,"collective spirit of a town, expressed in its formal praise-title",,"collective spirit of a town, expressed in its formal praise-title [amá + tẹ́mẹsuo collective spirit]","collective spirit of a town, expressed in its formal praise-title"
Amátòló,n.,town in Ogboin ibe of Southern Nzọn,,town in Ogboin ibe of Southern Nzọn,town in Ogboin ibe of Southern Nzọn
amátọrụ,n.,rainclouds,,rainclouds,rainclouds
angbaá¹,n.,cheek,,cheek,cheek
angbaá²,n.,barrel,,barrel,barrel
angbalókù,n.,mumps,,mumps,mumps
aminikaá,n.,"antelope species, probably the Yellow-backed Duiker , now almost extinct in the area",,"antelope species, probably the Yellow-backed Duiker (Cephalophus sylvicultor CEPHALOPHINAE), now almost extinct in the area (probably = ịsagháị-tùu- nama= ódèé)","antelope species, probably the Yellow-backed Duiker , now almost extinct in the area"
amú,n.,dizziness,,dizziness; giddiness,dizziness
amú,n.,giddiness,,dizziness; giddiness,giddiness
amudé,n.,"bird, the African Green Pigeon",,"bird, the African Green Pigeon (Treron calva COLUMBIDAE)","bird, the African Green Pigeon"
angá²,n.,side,,side; place; spot; (tech.) plane; face (of figure),side
